symbol,shares
20MICRONS,35286502
360ONE,407564504
3IINFOLTD,212610630
3MINDIA,11265070
63MOONS,46078537
A2ZINFRA,177522358
AADHARHFC,437737458
AAKASH,101250000
AARON,20946478
AARTECH,31770375
AARTIDRUGS,91270000
AARTIIND,362726695
AARTIPHARM,90679813
AARVI,14810700
AAVAS,79290026
ABAN,58365323
ABB,211908375
ABCAPITAL,2737370269
ABCOTS,21963620
ABDL,279710151
ABFRL,1216777241
ABINFRA,638789360
ABREL,110577844
ABSMARINE,24550000
ACC,187787263
ACCELYA,14926261
ACCENTMIC,23989020
ACCORD,3472000
ACCURACY,150560000
ACE,119027888
ACEINTEG,10200000
ACI,123458394
ACMESOLAR,706291446
ACUTAAS,81871122
ADANIENSOL,1222954468
ADANIENT,1352949234
ADANIGREEN,1647176155
ADANIPORTS,2303959098
ADANIPOWER,19284694705
ADOR,17402815
ADROITINFO,54628520
ADSL,56650603
ADVAIT,10936777
ADVANCE,64285720
ADVANIHOTR,92438500
ADVENZYMES,111705261
AEGISLOG,351000000
AEGISVOPAK,1107991489
AEQUS,654854135
AEROENTER,113164200
AEROFLEX,132330768
AERONEU,25796000
AETHER,132727845
AFCONS,367784631
AFFLE,140740451
AFFORDABLE,11851105
AFIL,426749960
AFSL,50839759
AGARIND,14957789
AGARWALEYE,316983028
AGARWALFT,7243488
AGI,64697381
AGIIL,124997388
AGNI,19534800
AGRITECH,5940000
AGROPHOS,20274115
AGSTRA,128106004
AGUL,5484000
AHCL,531515000
AHLADA,12921000
AHLEAST,17291696
AHLUCONT,66987560
AHLWEST,11651210
AIFL,25211400
AIIL,849225500
AILIMITED,12043140
AIMTRON,20609177
AISL,10352200
AJANTPHARM,124959024
AJMERA,196795650
AJOONI,172243598
AJRINFRA,941830724
AKASH,16862534
AKI,103205956
AKIKO,10769600
AKSHAR,787468500
AKSHARCHEM,8033099
AKSHOPTFBR,162697971
AKUMS,153102058
ALANKIT,271158100
ALICON,16336840
ALIVUS,122771448
ALKEM,119565000
ALLCARGO,1497778469
ALLDIGI,15238326
ALLETEC,20194176
ALLTIME,65507778
ALMONDZ,174899756
ALOKINDS,4965240401
ALPEXSOLAR,24473400
ALPHAGEO,6364767
ALPSINDUS,39114100
ALUWIND,24847420
AMANTA,38829351
AMBER,35267767
AMBICAAGAR,17177400
AMBIKCO,5725000
AMBUJACEM,2484817186
AMEYA,7500000
AMIABLE,1748200
AMNPLST,55020000
ANANTRAJ,359876930
ANDHRAPAP,198850195
ANGELONE,913687448
ANIKINDS,27753486
ANKITMETAL,141110500
ANLON,6255400
ANNAPURNA,17590000
ANSALAPI,157404876
ANTELOPUS,35162358
ANTHEM,561713851
ANUP,20031466
ANURAS,113849841
APARINDS,41872337
APCL,29374764
APCOTEXIND,51844960
APEX,31250000
APLAPOLLO,277658405
APLLTD,196563124
APOLLO,371599512
APOLLOHOSP,143784657
APOLSINHOT,2600400
APS,19740000
APTECHT,58002817
AQYLON,253730560
ARABIAN,10892000
ARCHIES,33780000
ARE&M,183025364
ARFIN,168722482
ARIES,13004339
ARIHANTACA,6055200
ARIHANTCAP,109612400
ARIHANTSUP,43249991
ARIS,81793846
ARISTO,6807800
ARKADE,185663617
ARMANFIN,10514761
ARSHIYA,263475915
ARSSBL,63066400
ARSSINFRA,90118498
ARTNIRMAN,24956000
ARVIND,262139640
ARVINDFASN,133672300
ARVSMART,45866979
ASAHIINDIA,254927192
ASAHISONG,11787262
ASALCBR,20079200
ASHIANA,100524857
ASHIMASYN,191660078
ASHOKA,280723217
ASIANENE,48591378
ASIANHOTNR,42633229
ASIANPAINT,958644295
ASIANTILES,296475285
ASIL,4116970
ASKAUTOLTD,197142600
ASMS,304576740
ASTEC,22282238
ASTERDM,871672439
ASTRAL,268650163
ASTRAMICRO,94945008
ASTRAZEN,25000000
ASTRON,46500000
ATALREAL,123896250
ATAM,11463000
ATGL,1099810083
ATL,252060324
ATLANTAA,81500000
ATLANTAELE,76896625
ATLASCYCLE,6503838
ATMASTCO,24734690
ATULAUTO,27751280
AUBANK,749004181
AURIGROW,666240000
AURIONPRO,55213530
AUROIMPEX,12200800
AUROPHARMA,575377895
AURUM,76352367
AUSOMENT,13623552
AUSTRAL,290296000
AUTOAXLES,15111975
AUTOIND,45375401
AVALON,66811755
AVANTEL,265710850
AVG,18708076
AVONMORE,282184741
AVPINFRA,24979200
AVROIND,13417140
AVSL,5331120
AWFIS,71563186
AWHCL,28371681
AWL,1291817635
AXISBANK,3113082830
AXISCADES,42533489
AXITA,382673533
AYMSYNTEX,58734091
AZAD,64581743
BABAFP,16326403
BAFNAPH,23656335
BAHETI,10368530
BAIDFIN,154888107
BAJAJ-AUTO,274803838
BAJAJCON,130618321
BAJAJELEC,115392769
BAJAJFINSV,1600244726
BAJAJHCARE,33662661
BAJAJHIND,2388886041
BAJAJINDEF,32000000
BAJEL,115696935
BAJFINANCE,6220913102
BALAJITELE,121902291
BALAXI,55207500
BALKRISHNA,32219532
BALLARPUR,55000000
BALMLAWRIE,171003846
BALPHARMA,15920872
BALRAMCHIN,211597496
BALUFORGE,114991900
BANARBEADS,6597522
BANARISUG,12539700
BANDHANBNK,1611111580
BANKA,10874207
BANKBARODA,5171362179
BANSALWIRE,156555952
BASF,43285640
BASILIC,23240000
BASML,79921375
BATAINDIA,128527540
BBOX,177599205
BBTC,69771900
BBTCL,20511240
BCG,2018521873
BCLIND,295163340
BCONCEPTS,12481877
BCPL,16723638
BDL,366562500
BEARDSELL,39437000
BECTORFOOD,306990595
BEDMUTHA,32263884
BEL,7309778829
BELRISE,967151919
BEML,83289000
BEPL,248858460
BERGEPAINT,1166002812
BETA,10094553
BEWLTD,13073324
BFINVEST,37667628
BFUTILITIE,37667628
BGRENERGY,72161560
BHAGERIA,43644180
BHAGYANGR,33496434
BHANDARI,332956433
BHARATFORG,478088632
BHARATRAS,16621072
BHARATSE,62800000
BHARATWIRE,68782985
BHARTIARTL,6238008259
BHEL,3482063355
BIGBLOC,141575750
BIKAJI,250736400
BIL,13410411
BIRLACABLE,30000000
BIRLACORPN,77005347
BIRLAMONEY,56509201
BIRLATYRE,142590000
BKMINDST,65534050
BLBLIMITED,52865258
BLISSGVS,106275222
BLKASHYAP,225440000
BLS,411522253
BLSE,90654077
BLUEBLENDS,21651200
BLUEDART,23727934
